artist,country,language,title,year
Jetty Paerl,Netherlands,Dutch,De Vogels Van Holland,1956
Lys Assia,Switzerland,German,Das Alte Karussel,1956
Fud Leclerc,Belgium,French,Messieurs Les Noyés Dans La Seine,1956
Walter Andreas Schwarz,Germany,German,Das Lied Vom Großen Glück,1956
Mathé Altéry,France,French,Le Temps Perdu,1956
Michèle Arnaud,Luxembourg,French,Ne Crois Pas,1956
Franca Raimondi,Italy,Italian,Aprite Le Finestre,1956
Corry Brokken,Netherlands,Dutch,Voorgoed Voorbij,1956
Lys Assia,Switzerland,French,Refrain,1956
Mony Marc,Belgium,French,Le Plus Beau Jour De Ma Vie,1956
Freddy Quinn,Germany,German,So Geht Das Jede Nacht,1956
Dany Dauberson,France,French,Il Est Là,1956
Michèle Arnaud,Luxembourg,French,Les Amants De Minuit,1956
Tonina Torrielli,Italy,Italian,Amami Se Vuoi,1956
Bobbejaan Schoepen,Belgium,Dutch,Straatdeuntje,1957
Danièle Dupré,Luxembourg,French,Tant De Peine,1957
Patricia Bredin,United Kingdom,English,All,1957
Nunzio Gallo,Italy,Italian,Corde Della Mia Chitarra,1957
Bob Martin,Austria,German,Wohin Kleines Pony,1957
Corry Brokken,Netherlands,Dutch,Net Als Toen,1957
Margot Hielscher,Germany,German,"Telefon, Telefon",1957
Paule Desjardins,France,French,La Belle Amour,1957
Birthe Wilke & Gustav Winckler,Denmark,Danish,Skibet Skal Sejle I Nat,1957
Lys Assia,Switzerland,French,L'enfant Que J'etais,1957
Domenico Modugno,Italy,Italian,Nel Blu Dipinto Di Blu,1958
Corry Brokken,Netherlands,Dutch,Heel De Wereld,1958
André Claveau,France,French,"Dors, Mon Amour",1958
Solange Berry,Luxembourg,French,Un Grand Amour,1958
Alice Babs,Sweden,Swedish,Lilla Stjärna,1958
Raquel Rastenni,Denmark,Danish,Jeg Rev Et Blad Ud Af Min Dagbog,1958
Fud Leclerc,Belgium,French,Ma Petite Chatte,1958
Margot Hielscher,Germany,German,Für Zwei Groschen Musik,1958
Liane Augustin,Austria,German,Die Ganze Welt Braucht Liebe,1958
Lys Assia,Switzerland,Italian-German,Giorgio,1958
Jean Philippe,France,French,Oui Oui Oui Oui,1959
Birthe Wilke,Denmark,Danish,Uh Jeg Ville Onske Jeg Var Dig,1959
Domenico Modugno,Italy,Italian,Piove,1959
Jacques Pills,Monaco,French,Mon Ami Pierrot,1959
Teddy Scholten,Netherlands,Dutch,Een Beetje,1959
Alice & Ellen Kessler,Germany,German,Heute Abend Woll'n Wir Tanzen Geh'n,1959
Brita Borg,Sweden,Swedish,Augustin,1959
Christa Williams,Switzerland,German,Irgendwoher,1959
Ferry Graf,Austria,German,Der K Und K Kalypso Aus Wien,1959
Pearl Carr & Teddy Johnson,United Kingdom,English,Sing Little Birdie,1959
Bob Benny,Belgium,Dutch,Hou Toch Van Mij,1959
