artist,country,language,place_final,points_final,title,year
Fud Leclerc,Belgium,French,2.0,0.0,Messieurs Les Noyés De La Seine,1956
Mony Marc,Belgium,French,2.0,0.0,Le Plus Beau Jour De Ma Vie,1956
Dany Dauberson,France,French,2.0,0.0,Il Est Là,1956
Mathé Altéry,France,French,2.0,0.0,Le Temps Perdu,1956
Freddy Quinn,Germany,German,2.0,0.0,So Geht Das Jede Nacht,1956
Walter Andreas Schwarz,Germany,German,2.0,0.0,Im Wartesaal Zum Großen Glück,1956
Franca Raimondi,Italy,Italian,2.0,0.0,Aprite Le Finestre,1956
Tonina Torielli,Italy,Italian,2.0,0.0,Amami Se Vuoi,1956
Michèle Arnaud,Luxembourg,French,2.0,0.0,Les Amants De Minuit,1956
Michèle Arnaud,Luxembourg,French,2.0,0.0,Ne Crois Pas,1956
Corry Brokken,Netherlands,Dutch,2.0,0.0,Voorgoed Voorbij,1956
Jetty Paerl,Netherlands,Dutch,2.0,0.0,De Vogels Van Holland,1956
Lys Assia,Switzerland,German,2.0,0.0,Das Alte Karussell,1956
Lys Assia,Switzerland,French,1.0,0.0,Refrain,1956
Bob Martin,Austria,German,10.0,3.0,"Wohin, Kleines Pony",1957
Bobbejaan Schoepen,Belgium,Dutch,8.0,5.0,Straatdeuntje,1957
Birthe Wilke and Gustav Winckler,Denmark,Danish,3.0,10.0,Skibet Skal Sejle I Nat,1957
Paule Desjardins,France,French,2.0,17.0,La Belle Amour,1957
Margot Hielscher,Germany,German,4.0,8.0,"Telefon, Telefon",1957
Nunzio Gallo,Italy,Italian,6.0,7.0,Corde Della Mia Chitarra,1957
Danièle Dupré,Luxembourg,French,4.0,8.0,Tant De Peine,1957
Corry Brokken,Netherlands,Dutch,1.0,31.0,Net Als Toen,1957
Lys Assia,Switzerland,French,8.0,5.0,L'enfant Que J'étais,1957
Patricia Bredin,United Kingdom,English,7.0,6.0,All,1957
Liane Augustin,Austria,German,5.0,8.0,Die Ganze Welt Braucht Liebe,1958
Fud Leclerc,Belgium,French,5.0,8.0,Ma Petite Chatte,1958
Raquel Rastenni,Denmark,Danish,8.0,3.0,Jeg Rev Et Blad Ud Af Min Dagbog,1958
André Claveau,France,French,1.0,27.0,Dors Mon Amour,1958
Margot Hielscher,Germany,German,7.0,5.0,Für Zwei Groschen Musik,1958
Domenico Modugno,Italy,Italian,3.0,13.0,Nel Blu Dipinto Di Blu,1958
Solange Berry,Luxembourg,French,9.0,1.0,Un Grand Amour,1958
Corry Brokken,Netherlands,Dutch,9.0,1.0,Heel De Wereld,1958
Alice Babs,Sweden,Swedish,4.0,10.0,Lilla Stjärna,1958
Lys Assia,Switzerland,"Italian,German",2.0,24.0,Giorgio,1958
