artist,country,place_final,points_final,title,year
Anxhela Peristeri,Albania,21.0,57.0,Karma,2021
Montaigne,Australia,,,Technicolour,2021
Vincent Bueno,Austria,,,Amen,2021
Efendi,Azerbaijan,20.0,65.0,Mata Hari,2021
Hooverphonic,Belgium,19.0,74.0,The Wrong Place,2021
VICTORIA,Bulgaria,11.0,170.0,Growing Up Is Getting Old,2021
Albina,Croatia,,,Tick-Tock,2021
Elena Tsagrinou,Cyprus,16.0,94.0,El Diablo,2021
Benny Cristo,Czech Republic,,,omaga,2021
Fyr Og Flamme,Denmark,,,Øve Os På Hinanden,2021
Uku Suviste,Estonia,,,The Lucky One,2021
Blind Channel,Finland,6.0,301.0,Dark Side,2021
Barbara Pravi,France,2.0,499.0,Voilà,2021
Tornike Kipiani,Georgia,,,You,2021
Jendrik,Germany,25.0,3.0,I Don't Feel Hate,2021
Stefania,Greece,10.0,170.0,Last Dance,2021
Daði og Gagnamagnið,Iceland,4.0,378.0,10 Years,2021
Lesley Roy,Ireland,,,MAPS,2021
Eden Alene,Israel,17.0,93.0,Set Me Free,2021
Måneskin,Italy,1.0,524.0,Zitti E Buoni,2021
Samanta Tīna,Latvia,,,The Moon Is Rising,2021
The Roop,Lithuania,8.0,220.0,Discoteque,2021
Destiny,Malta,7.0,255.0,Je Me Casse,2021
Natalia Gordienko,Moldova,13.0,115.0,SUGAR,2021
Jeangu Macrooy,Netherlands,23.0,11.0,Birth Of A New Age,2021
Vasil,North Macedonia,,,Here I Stand,2021
TIX,Norway,18.0,75.0,Fallen Angel,2021
RAFAŁ,Poland,,,The Ride,2021
The Black Mamba,Portugal,12.0,153.0,Love Is On My Side,2021
ROXEN,Romania,,,Amnesia,2021
Manizha,Russia,9.0,204.0,Russian Woman,2021
Senhit,San Marino,22.0,50.0,Adrenalina,2021
Hurricane,Serbia,15.0,102.0,Loco Loco,2021
Ana Soklič,Slovenia,,,Amen,2021
Blas Cantó,Spain,24.0,6.0,Voy A Quedarme,2021
Tusse,Sweden,14.0,109.0,Voices,2021
Gjon's Tears,Switzerland,3.0,432.0,Tout l'Univers,2021
Go_A,Ukraine,5.0,364.0,Shum,2021
James Newman,United Kingdom,26.0,0.0,Embers,2021
Arilena Ara,Albania,,,Fall From The Sky,2020
Athena Manoukian,Armenia,,,Chains On You,2020
Montaigne,Australia,,,Don't Break Me,2020
Vincent Bueno,Austria,,,Alive,2020
Efendi,Azerbaijan,,,Cleopatra,2020
VAL,Belarus,,,Da Vidna,2020
Hooverphonic,Belgium,,,Release Me,2020
VICTORIA,Bulgaria,,,Tears Getting Sober,2020
Damir Kedžo,Croatia,,,Divlji Vjetre,2020
Sandro,Cyprus,,,Running,2020
Benny Cristo,Czech Republic,,,Kemama,2020
Ben & Tan,Denmark,,,YES,2020
Uku Suviste,Estonia,,,What Love Is,2020
Aksel,Finland,,,Looking Back,2020
Tom Leeb,France,,0.0,Mon Alliée (The Best In Me),2020
Tornike Kipiani,Georgia,,,Take Me As I Am,2020
Ben Dolic,Germany,,0.0,Violent Thing,2020
Stefania,Greece,,,SUPERG!RL,2020
Daði og Gagnamagnið,Iceland,,,Think About Things,2020
Lesley Roy,Ireland,,,Story Of My Life,2020
Eden Alene,Israel,,,Feker Libi,2020
Diodato,Italy,,0.0,Fai Rumore,2020
Samanta Tīna,Latvia,,,Still Breathing,2020
The Roop,Lithuania,,,On Fire,2020
Destiny,Malta,,,All Of My Love,2020
Natalia Gordienko,Moldova,,,Prison,2020
Jeangu Macrooy,Netherlands,,0.0,Grow,2020
Vasil,North Macedonia,,,YOU,2020
Ulrikke,Norway,,,Attention,2020
Alicja,Poland,,,Empires,2020
Elisa,Portugal,,,Medo De Sentir,2020
ROXEN,Romania,,,Alcohol You,2020
Little Big,Russia,,,Uno,2020
Senhit,San Marino,,,Freaky!,2020
Hurricane,Serbia,,,Hasta La Vista,2020
Ana Soklič,Slovenia,,,Voda,2020
Blas Cantó,Spain,,0.0,Universo,2020
The Mamas,Sweden,,,Move,2020
Gjon's Tears,Switzerland,,,Répondez-moi,2020
Go_A,Ukraine,,,Solovey,2020
James Newman,United Kingdom,,0.0,My Last Breath,2020
Jonida Maliqi,Albania,17.0,90.0,Ktheju tokës,2019
Srbuk,Armenia,,,Walking Out,2019
Kate Miller-Heidke,Australia,9.0,284.0,Zero Gravity,2019
PÆNDA,Austria,,,Limits,2019
Chingiz,Azerbaijan,8.0,302.0,Truth,2019
ZENA,Belarus,24.0,31.0,Like It,2019
Eliot,Belgium,,,Wake Up,2019
Roko,Croatia,,,The Dream,2019
Tamta,Cyprus,13.0,109.0,Replay,2019
Lake Malawi,Czech Republic,11.0,157.0,Friend of a Friend,2019
Leonora,Denmark,12.0,120.0,Love Is Forever,2019
Victor Crone,Estonia,20.0,76.0,Storm,2019
Darude feat. Sebastian Rejman,Finland,,,Look Away,2019
Bilal Hassani,France,16.0,105.0,Roi,2019
Oto Nemsadze,Georgia,,,Keep on Going,2019
S!sters,Germany,25.0,24.0,Sister,2019
Katerine Duska,Greece,21.0,74.0,Better Love,2019
Joci Pápai,Hungary,,,Az én apám,2019
Hatari,Iceland,10.0,232.0,Hatrið mun sigra,2019
Sarah McTernan,Ireland,,,22,2019
Kobi Marimi,Israel,23.0,35.0,Home,2019
Mahmood,Italy,2.0,472.0,Soldi,2019
Carousel,Latvia,,,That Night,2019
Jurij Veklenko,Lithuania,,,Run With The Lions,2019
Michela,Malta,14.0,107.0,Chameleon,2019
Anna Odobescu,Moldova,,,Stay,2019
D mol,Montenegro,,,Heaven,2019
Duncan Laurence,Netherlands,1.0,498.0,Arcade,2019
Tamara Todevska,North Macedonia,7.0,305.0,Proud,2019
KEiiNO,Norway,6.0,331.0,Spirit in the Sky,2019
Tulia,Poland,,,Fire of Love (Pali się),2019
Conan Osiris,Portugal,,,Telemóveis,2019
Ester Peony,Romania,,,On a Sunday,2019
Sergey Lazarev,Russia,3.0,370.0,Scream,2019
Serhat,San Marino,19.0,77.0,Say Na Na Na,2019
Nevena Božović,Serbia,18.0,89.0,Kruna,2019
Zala Kralj & Gašper Šantl,Slovenia,15.0,105.0,Sebi,2019
Miki,Spain,22.0,54.0,La Venda,2019
John Lundvik,Sweden,5.0,334.0,Too Late For Love,2019
Luca Hänni,Switzerland,4.0,364.0,She Got Me,2019
Michael Rice,United Kingdom,26.0,11.0,Bigger Than Us,2019
Eugent Bushpepa,Albania,11.0,184.0,Mall,2018
Sevak Khanagyan,Armenia,,,Qami,2018
Jessica Mauboy,Australia,20.0,99.0,We Got Love,2018
Cesár Sampson,Austria,3.0,342.0,Nobody But You,2018
Aisel,Azerbaijan,,,X My Heart,2018
ALEKSEEV,Belarus,,,FOREVER,2018
Sennek,Belgium,,,A Matter Of Time,2018
EQUINOX,Bulgaria,14.0,166.0,Bones,2018
Franka,Croatia,,,Crazy,2018
Eleni Foureira,Cyprus,2.0,436.0,Fuego,2018
Mikolas Josef,Czech Republic,6.0,281.0,Lie To Me,2018
Rasmussen,Denmark,9.0,226.0,Higher Ground,2018
