artist,language,position,title,week,year
CLEAN BANDIT FEAT SEAN PAUL & ANNE-MARIE,English,1,ROCKABYE,1,2017
GULDDRENG,Danish,2,KED AF DET,1,2017
THE WEEKND FEAT. DAFT PUNK,English,3,STARBOY,1,2017
STARLEY,English,4,CALL ON ME,1,2017
GILLI,Norwegian,5,HELWA,1,2017
THE WEEKND FEAT. DAFT PUNK,English,6,I FEEL IT COMING,1,2017
JAMES ARTHUR,English,7,SAY YOU WON´T LET GO,1,2017
DJ SNAKE & TIESTO FEAT. JUSTIN BIEBER,English,8,LET ME LOVE YOU,1,2017
JESU BRØDRE & ADHD,Danish,9,KRANALARM,1,2017
MAJOR LAZER FEAT. JUSTIN BIEBER & MØ,English,10,COLD WATER,1,2017
RAG´N´BONE MAN,English,11,HUMAN,1,2017
ZAYN & TAYLOR SWIFT,English,12,I DON´T WANNA LIVE FOREVER,1,2017
CHRISTOPHER,English,13,FREE FALL,1,2017
THE CHAINSMOKERS FEAT. HALSEY,English,14,CLOSER,1,2017
MARTIN JENSEN,English,15,SOLO DANCE,1,2017
NODE,Danish,16,PAKKER BAR,1,2017
BLAK,Danish,17,IK´ MIN SKYLD,1,2017
JIMILIAN,Danish,18,GIV MIG NOGET,1,2017
SLEIMAN,Danish,19,FOR EVIGT UNG,1,2017
RAE SREMMURD FEAT. GUCCI MANE,English,20,BLACK BEATLES,1,2017
MAROON 5 FEAT. KENDRICK LAMAR,English,21,DON´T WANNA KNOW,1,2017
VOLBEAT,Danish,22,FOR EVIGT,1,2017
GULDDRENG,Danish,23,MODEL,1,2017
ZARA LARSSON,English,24,I WOULD LIKE,1,2017
SHAWN MENDES,English,25,MERCY,1,2017
BRUNO MARS,English,26,24K MAGIC,1,2017
JUSTIN TIMBERLAKE,English,27,CAN´T STOP THE FEELING!,1,2017
SAGE THE GEMINI,English,28,NOW AND LATER,1,2017
BLAK,Danish,29,NEDE METTE,1,2017
GULDDRENG,Danish,30,SE MIG NU,1,2017
NEIKED,English,31,SEXUAL,1,2017
GULDDRENG,Danish,32,NEMT,1,2017
CALUM SCOTT,English,33,DANCING ON MY OWN,1,2017
SUSPEKT,Danish,34,HUN BLEV BARE SÅ GLAD,1,2017
SHAWN MENDES,English,35,TREAT YOU BETTER,1,2017
DRAKE,English,36,FAKE LOVE,1,2017
HAILEE STEINFELD & GREY FEAT. ZEDD,English,37,STARVING,1,2017
MARTIN GARRIX & BEBE REXHA,English,38,IN THE NAME OF LOVE,1,2017
GULDDRENG,Danish,39,DRIKKER FOR LIDT,1,2017
STEVE AOKI & LOUIS TOMLINSON,English,40,JUST HOLD ON,1,2017
ED SHEERAN,English,1,SHAPE OF YOU,2,2017
ED SHEERAN,English,2,CASTLE ON THE HILL,2,2017
CLEAN BANDIT FEAT SEAN PAUL & ANNE-MARIE,English,3,ROCKABYE,2,2017
GULDDRENG,Danish,4,KED AF DET,2,2017
GILLI,Norwegian,5,HELWA,2,2017
ZAYN & TAYLOR SWIFT,English,6,I DON´T WANNA LIVE FOREVER,2,2017
STARLEY,English,7,CALL ON ME,2,2017
THE WEEKND FEAT. DAFT PUNK,English,8,STARBOY,2,2017
THE WEEKND FEAT. DAFT PUNK,English,9,I FEEL IT COMING,2,2017
JAMES ARTHUR,English,10,SAY YOU WON´T LET GO,2,2017
JIMILIAN,Danish,11,GIV MIG NOGET,2,2017
SNAKEHIPS & MØ,English,12,DON´T LEAVE,2,2017
