artist,language,position,title,week,year
Arttu Lindeman,Finnish,1,Hukutaan,1,2017
Alan Walker,English,2,Alone,1,2017
Clean Bandit,English,3,Rockabye (Feat. Sean Paul & Anne-Marie),1,2017
Mikael Gabriel,Finnish,4,Loistat Pimeäs,1,2017
"Profeetat, Elastinen, Cheek",Finnish,5,Sinuhe,1,2017
The Weeknd,English,6,Starboy (Feat. Daft Punk),1,2017
"Steve Aoki, Louis Tomlinson",English,7,Just Hold On,1,2017
Burak Yeter,English,8,Tuesday (Feat. Danelle Sandoval),1,2017
Nikke Ankara,Finnish,9,Pisamat,1,2017
JVG,Finnish,10,"Mist Sä Tuut, Part. 2",1,2017
Vice,English,11,Steady 1234 (Feat. Jasmine Thompson & Skizzy Mars),1,2017
Rae Sremmurd,English,12,Black Beatles (Feat. Gucci Mane),1,2017
Sage The Gemini,English,13,Now And Later,1,2017
Haloo Helsinki!,Finnish,14,Rakas,1,2017
Sia,English,15,Move Your Body,1,2017
Taylor Swift & Zayn Malik,Norwegian,16,I Don't Wanna Live Forever (Fifty Shades Darker),1,2017
Roope Salminen & Koirat,Finnish,17,Vilmasen Iinan Bileet,1,2017
"MGI, JVG, Elias Gould",Finnish,18,Revolveri (Luokkakokous 2 - Polttarit),1,2017
"Bruno Martini, Alok",English,19,Hear Me Now (Feat. Zeeba),1,2017
Tippa-T,Finnish,20,Lujaa (Feat. Pete Parkkonen),1,2017
Ed Sheeran,English,1,Shape Of You,2,2017
Antti Tuisku,Finnish,2,Mä Hiihdän,2,2017
Alan Walker,English,3,Alone,2,2017
Arttu Lindeman,Finnish,4,Hukutaan,2,2017
Ed Sheeran,English,5,Castle On The Hill,2,2017
Clean Bandit,English,6,Rockabye (Feat. Sean Paul & Anne-Marie),2,2017
Mikael Gabriel,Finnish,7,Loistat Pimeäs,2,2017
"Profeetat, Elastinen, Cheek",Finnish,8,Sinuhe,2,2017
"Steve Aoki, Louis Tomlinson",English,9,Just Hold On,2,2017
The Weeknd,English,10,Starboy (Feat. Daft Punk),2,2017
Vice,English,11,Steady 1234 (Feat. Jasmine Thompson & Skizzy Mars),2,2017
Haloo Helsinki!,Finnish,12,Rakas,2,2017
Nikke Ankara,Finnish,13,Pisamat,2,2017
Burak Yeter,English,14,Tuesday (Feat. Danelle Sandoval),2,2017
"Bruno Martini, Alok",English,15,Hear Me Now (Feat. Zeeba),2,2017
JVG,Finnish,16,"Mist Sä Tuut, Part. 2",2,2017
Sage The Gemini,English,17,Now And Later,2,2017
Aste,Finnish,18,Enemmän Kuin Valmis,2,2017
Sia,English,19,Move Your Body,2,2017
The Weeknd,English,20,I Feel It Coming (Feat. Daft Punk),2,2017
Ed Sheeran,English,1,Shape Of You,3,2017
Alan Walker,English,2,Alone,3,2017
Clean Bandit,English,3,Rockabye (Feat. Sean Paul & Anne-Marie),3,2017
Ed Sheeran,English,4,Castle On The Hill,3,2017
Antti Tuisku,Finnish,5,Mä Hiihdän,3,2017
Arttu Lindeman,Finnish,6,Hukutaan,3,2017
Mikael Gabriel,Finnish,7,Loistat Pimeäs,3,2017
"Steve Aoki, Louis Tomlinson",English,8,Just Hold On,3,2017
