artist,language,position,title,week,year
Alan Walker,English,1,ALONE,1,2017
Sean Paul,English,2,ROCKABYE,1,2017
ZAYN & TAYLOR SWIFT,English,3,I DON'T WANNA LIVE FOREVER (FIFTY SHADES DARKER),1,2017
THE WEEKND,English,4,STARBOY,1,2017
Starley,English,5,CALL ON ME (RYAN RIBACK REMIX),1,2017
THE WEEKND,English,6,I FEEL IT COMING,1,2017
Labrinth,English,7,MAKE ME (CRY),1,2017
Martin Jensen,English,8,SOLO DANCE,1,2017
Sia,English,9,MOVE YOUR BODY (ALAN WALKER REMIX),1,2017
Alok,English,10,HEAR ME NOW,1,2017
Seeb,English,11,WHAT DO YOU LOVE,1,2017
James Arthur,English,12,SAY YOU WON'T LET GO,1,2017
Matoma,English,13,ALL NIGHT,1,2017
Justin Bieber,English,14,LET ME LOVE YOU,1,2017
Alan Walker,English,15,FADED,1,2017
Rae Sremmurd,English,16,BLACK BEATLES,1,2017
The Chainsmokers,English,17,CLOSER,1,2017
NEIKED,English,18,SEXUAL,1,2017
Hearts & Colors,English,19,LIGHTHOUSE (ANDRELLI REMIX),1,2017
Maroon 5,English,20,DON'T WANNA KNOW,1,2017
Sia,English,21,THE GREATEST,1,2017
Bruno Mars,English,22,24K MAGIC,1,2017
Zara Larsson,English,23,I WOULD LIKE,1,2017
Gavin James,English,24,NERVOUS,1,2017
Coldplay,English,25,HYMN FOR THE WEEKEND,1,2017
Ariana Grande,English,26,SIDE TO SIDE,1,2017
Sia,English,27,CHEAP THRILLS,1,2017
The Chainsmokers,English,28,ALL WE KNOW,1,2017
Steve Aoki,English,29,JUST HOLD ON,1,2017
Zedd,English,30,STARVING,1,2017
Cheat Codes,English,31,SHED A LIGHT,1,2017
Alan Walker,English,32,SING ME TO SLEEP,1,2017
Andres Espinosa,English,33,ONE DANCE,1,2017
Nause,English,34,DYNAMITE,1,2017
Shawn Mendes,English,35,MERCY,1,2017
Justin Bieber,English,36,COLD WATER,1,2017
Freddy Kalas,Norwegian,37,JOVIAL,1,2017
Martin Garrix,English,38,IN THE NAME OF LOVE,1,2017
Freddy Kalas,Norwegian,39,HEY HO,1,2017
Mike Perry,English,40,INSIDE THE LINES,1,2017
Ed Sheeran,English,1,SHAPE OF YOU,2,2017
Alan Walker,English,2,ALONE,2,2017
Ed Sheeran,English,3,CASTLE ON THE HILL,2,2017
Sean Paul,English,4,ROCKABYE,2,2017
ZAYN & TAYLOR SWIFT,English,5,I DON'T WANNA LIVE FOREVER (FIFTY SHADES DARKER),2,2017
THE WEEKND,English,6,STARBOY,2,2017
Labrinth,English,7,MAKE ME (CRY),2,2017
Starley,English,8,CALL ON ME (RYAN RIBACK REMIX),2,2017
THE WEEKND,English,9,I FEEL IT COMING,2,2017
Alok,English,10,HEAR ME NOW,2,2017
Sia,English,11,MOVE YOUR BODY (ALAN WALKER REMIX),2,2017
Martin Jensen,English,12,SOLO DANCE,2,2017
James Arthur,English,13,SAY YOU WON'T LET GO,2,2017
Hearts & Colors,English,14,LIGHTHOUSE (ANDRELLI REMIX),2,2017
Matoma,English,15,ALL NIGHT,2,2017
Seeb,English,16,WHAT DO YOU LOVE,2,2017
Alan Walker,English,17,FADED,2,2017
NEIKED,English,18,SEXUAL,2,2017
Maroon 5,English,19,DON'T WANNA KNOW,2,2017
The Chainsmokers,English,20,CLOSER,2,2017
Plumbo,English,21,EN SISTE GANG,2,2017
Justin Bieber,English,22,LET ME LOVE YOU,2,2017
Rae Sremmurd,English,23,BLACK BEATLES,2,2017
Steve Aoki,English,24,JUST HOLD ON,2,2017
Zara Larsson,English,25,I WOULD LIKE,2,2017
Sia,English,26,THE GREATEST,2,2017
Gavin James,English,27,NERVOUS,2,2017
MØ,English,28,DON'T LEAVE,2,2017
Ariana Grande,English,29,SIDE TO SIDE,2,2017
Cheat Codes,English,30,SHED A LIGHT,2,2017
The Chainsmokers,English,31,ALL WE KNOW,2,2017
Bruno Mars,English,32,24K MAGIC,2,2017
Shawn Mendes,English,33,MERCY,2,2017
Mike Perry,English,34,INSIDE THE LINES,2,2017
Zedd,English,35,STARVING,2,2017
Martin Garrix,English,36,IN THE NAME OF LOVE,2,2017
Coldplay,English,37,HYMN FOR THE WEEKEND,2,2017
TRXD,English,38,OUR CITY (FEAT. EMILIE ADAMS),2,2017
Alan Walker,English,39,SING ME TO SLEEP,2,2017
Ina Wroldsen,English,40,PLACES (FEAT. INA WROLDSEN),2,2017
Ed Sheeran,English,1,SHAPE OF YOU,3,2017
Alan Walker,English,2,ALONE,3,2017
ZAYN & TAYLOR SWIFT,English,3,I DON'T WANNA LIVE FOREVER (FIFTY SHADES DARKER),3,2017
Sean Paul,English,4,ROCKABYE,3,2017
Ed Sheeran,English,5,CASTLE ON THE HILL,3,2017
Labrinth,English,6,MAKE ME (CRY),3,2017
THE WEEKND,English,7,STARBOY,3,2017
The Chainsmokers,English,8,PARIS,3,2017
Alok,English,9,HEAR ME NOW,3,2017
THE WEEKND,English,10,I FEEL IT COMING,3,2017
Starley,English,11,CALL ON ME (RYAN RIBACK REMIX),3,2017
Martin Jensen,English,12,SOLO DANCE,3,2017
Hearts & Colors,English,13,LIGHTHOUSE (ANDRELLI REMIX),3,2017
James Arthur,English,14,SAY YOU WON'T LET GO,3,2017
Sia,English,15,MOVE YOUR BODY (ALAN WALKER REMIX),3,2017
Seeb,English,16,WHAT DO YOU LOVE,3,2017
Scooter,English,17,BLACKOUT,3,2017
Matoma,English,18,ALL NIGHT,3,2017
NEIKED,English,19,SEXUAL,3,2017
Steve Aoki,English,20,JUST HOLD ON,3,2017
Alan Walker,English,21,FADED,3,2017
MØ,English,22,DON'T LEAVE,3,2017
The Chainsmokers,English,23,CLOSER,3,2017
Maroon 5,English,24,DON'T WANNA KNOW,3,2017
Plumbo,English,25,EN SISTE GANG,3,2017
Justin Bieber,English,26,LET ME LOVE YOU,3,2017
Zara Larsson,English,27,I WOULD LIKE,3,2017
Gaute Ormåsen,Norwegian,28,KJÆRLIGHET ER MER ENN FORELSKELSE,3,2017
Rae Sremmurd,English,29,BLACK BEATLES,3,2017
Sia,English,30,THE GREATEST,3,2017
Gavin James,English,31,NERVOUS,3,2017
Cheat Codes,English,32,SHED A LIGHT,3,2017
Ariana Grande,English,33,SIDE TO SIDE,3,2017
TRXD,English,34,OUR CITY (FEAT. EMILIE ADAMS),3,2017
Shawn Mendes,English,35,MERCY,3,2017
Zedd,English,36,STARVING,3,2017
Mike Perry,English,37,INSIDE THE LINES,3,2017
The Chainsmokers,English,38,ALL WE KNOW,3,2017
Ina Wroldsen,English,39,PLACES (FEAT. INA WROLDSEN),3,2017
Bruno Mars,English,40,24K MAGIC,3,2017
Ed Sheeran,English,1,SHAPE OF YOU,4,2017
Alan Walker,English,2,ALONE,4,2017
ZAYN & TAYLOR SWIFT,English,3,I DON'T WANNA LIVE FOREVER (FIFTY SHADES DARKER),4,2017
Sean Paul,English,4,ROCKABYE ,4,2017
The Chainsmokers,English,5,PARIS,4,2017
Ed Sheeran,English,6,CASTLE ON THE HILL,4,2017
Labrinth,English,7,MAKE ME (CRY) ,4,2017
Alok,English,8,HEAR ME NOW ,4,2017
THE WEEKND,English,9,STARBOY ,4,2017
THE WEEKND,English,10,I FEEL IT COMING ,4,2017
Martin Jensen,English,11,SOLO DANCE,4,2017
James Arthur,English,12,SAY YOU WON'T LET GO,4,2017
Hearts & Colors,English,13,LIGHTHOUSE (ANDRELLI REMIX),4,2017
Starley,English,14,CALL ON ME (RYAN RIBACK REMIX),4,2017
Sia,English,15,MOVE YOUR BODY (ALAN WALKER REMIX),4,2017
Gaute Ormåsen,Norwegian,16,KJÆRLIGHET ER MER ENN FORELSKELSE,4,2017
MØ,English,17,DON'T LEAVE,4,2017
Steve Aoki,English,18,JUST HOLD ON,4,2017
Seeb,English,19,WHAT DO YOU LOVE ,4,2017
