artist,language,position,title,week,year
Jill Johnson,English,1,Open Your Heart,1,2017
Miriam Bryant,English,2,Black Car,1,2017
Laleh,Swedish,3,Bara Få Va Mig Själv,1,2017
Magnus Carlson,Danish,4,Eternal Love,1,2017
Måns Zelmerlöw,English,5,Fire In The Rain,1,2017
Zara Larsson,English,6,Ain't My Fault,1,2017
Weeping Willows,English,7,My Love Is Not Blind,1,2017
Benny Anderssons Orkester/Helen Sjöholm/Tommy Körberg,Swedish,8,En Natt I Köpenhamn,1,2017
Magnus Uggla,Swedish,9,Världen Är Din,1,2017
CajsaStina Åkerström,Swedish,10,Röd,1,2017
Jill Johnson,English,1,Open Your Heart,2,2017
Miriam Bryant,English,2,Black Car,2,2017
Laleh,Swedish,3,Bara Få Va Mig Själv,2,2017
Magnus Carlson,Danish,4,Eternal Love,2,2017
Måns Zelmerlöw,English,5,Fire In The Rain,2,2017
Weeping Willows,English,6,My Love Is Not Blind,2,2017
Benny Anderssons Orkester/Helen Sjöholm/Tommy Körberg,Swedish,7,En Natt I Köpenhamn,2,2017
Zara Larsson,English,8,Ain't My Fault,2,2017
Magnus Uggla,Swedish,9,Världen Är Din,2,2017
Danny Saucedo,Swedish,10,Snacket På Stan,2,2017
Miriam Bryant,English,1,Black Car,3,2017
Jill Johnson,English,2,Open Your Heart,3,2017
Magnus Carlson,Danish,3,Eternal Love,3,2017
Laleh,Swedish,4,Bara Få Va Mig Själv,3,2017
Benny Anderssons Orkester/Helen Sjöholm/Tommy Körberg,Swedish,5,En Natt I Köpenhamn,3,2017
Weeping Willows,English,6,My Love Is Not Blind,3,2017
Måns Zelmerlöw,English,7,Fire In The Rain,3,2017
Zara Larsson,English,8,Ain't My Fault,3,2017
Danny Saucedo,Swedish,9,Snacket På Stan,3,2017
Magnus Uggla,Swedish,10,Världen Är Din,3,2017
Jill Johnson,English,1,Open Your Heart,4,2017
Miriam Bryant,English,2,Black Car,4,2017
Magnus Carlson,Danish,3,Eternal Love,4,2017
Laleh,Swedish,4,Bara Få Va Mig Själv,4,2017
Weeping Willows,English,5,My Love Is Not Blind,4,2017
Måns Zelmerlöw,English,6,Fire In The Rain,4,2017
Zara Larsson,English,7,Ain't My Fault,4,2017
Benny Anderssons Orkester/Helen Sjöholm/Tommy Körberg,Swedish,8,En Natt I Köpenhamn,4,2017
Magnus Uggla,Swedish,9,Världen Är Din,4,2017
Danny Saucedo,Swedish,10,Snacket På Stan,4,2017
Jill Johnson,English,1,Open Your Heart,5,2017
Miriam Bryant,English,2,Black Car,5,2017
Laleh,Swedish,3,Bara Få Va Mig Själv,5,2017
Magnus Carlson,Danish,4,Eternal Love,5,2017
Magnus Uggla,Swedish,5,Världen Är Din,5,2017
Weeping Willows,English,6,My Love Is Not Blind,5,2017
Måns Zelmerlöw,English,7,Fire In The Rain,5,2017
Zara Larsson,English,8,Ain't My Fault,5,2017
Benny Anderssons Orkester/Helen Sjöholm/Tommy Körberg,Swedish,9,En Natt I Köpenhamn,5,2017
Danny Saucedo,Swedish,10,Snacket På Stan,5,2017
Jill Johnson,English,1,Open Your Heart,6,2017
Miriam Bryant,English,2,Black Car,6,2017
Laleh,Swedish,3,Bara Få Va Mig Själv,6,2017
Magnus Carlson,Danish,4,Eternal Love,6,2017
Benny Anderssons Orkester/Helen Sjöholm/Tommy Körberg,Swedish,5,En Natt I Köpenhamn,6,2017
Zara Larsson,English,6,Ain't My Fault,6,2017
Weeping Willows,English,7,My Love Is Not Blind,6,2017
Magnus Uggla,Swedish,8,Världen Är Din,6,2017
Måns Zelmerlöw,English,9,Fire In The Rain,6,2017
Takida,English,10,Flowerchild (The Beauty Of Stray),6,2017
Jill Johnson,English,1,Open Your Heart,7,2017
Miriam Bryant,English,2,Black Car,7,2017
Magnus Carlson,Danish,3,Eternal Love,7,2017
Laleh,Swedish,4,Bara Få Va Mig Själv,7,2017
Weeping Willows,English,5,My Love Is Not Blind,7,2017
Magnus Uggla,Swedish,6,Världen Är Din,7,2017
Zara Larsson,English,7,Ain't My Fault,7,2017
Måns Zelmerlöw,English,8,Fire In The Rain,7,2017
Benny Anderssons Orkester/Helen Sjöholm/Tommy Körberg,Swedish,9,En Natt I Köpenhamn,7,2017
Takida,English,10,Flowerchild (The Beauty Of Stray),7,2017
Jill Johnson,English,1,Open Your Heart,8,2017
Miriam Bryant,English,2,Black Car,8,2017
Laleh,Swedish,3,Bara Få Va Mig Själv,8,2017
Magnus Carlson,Danish,4,Eternal Love,8,2017
Weeping Willows,English,5,My Love Is Not Blind,8,2017
Magnus Uggla,Swedish,6,Världen Är Din,8,2017
Benny Anderssons Orkester/Helen Sjöholm/Tommy Körberg,Swedish,7,En Natt I Köpenhamn,8,2017
Måns Zelmerlöw,English,8,Fire In The Rain,8,2017
Zara Larsson,English,9,Ain't My Fault,8,2017
Johnossi,English,10,Air Is Free,8,2017
Miriam Bryant,English,1,Black Car,9,2017
Jill Johnson,English,2,Open Your Heart,9,2017
Laleh,Swedish,3,Bara Få Va Mig Själv,9,2017
Magnus Carlson,Danish,4,Eternal Love,9,2017
Magnus Uggla,Swedish,5,Världen Är Din,9,2017
Måns Zelmerlöw,English,6,Fire In The Rain,9,2017
Weeping Willows,English,7,My Love Is Not Blind,9,2017
Zara Larsson,English,8,Ain't My Fault,9,2017
Benny Anderssons Orkester/Helen Sjöholm/Tommy Körberg,Swedish,9,En Natt I Köpenhamn,9,2017
Johnossi,English,10,Air Is Free,9,2017
Jill Johnson,English,1,Open Your Heart,10,2017
Magnus Carlson,Danish,2,Eternal Love,10,2017
Miriam Bryant,English,3,Black Car,10,2017
Laleh,Swedish,4,Bara Få Va Mig Själv,10,2017
Magnus Uggla,Swedish,5,Världen Är Din,10,2017
Måns Zelmerlöw,English,6,Fire In The Rain,10,2017
Zara Larsson,English,7,Ain't My Fault,10,2017
Benny Anderssons Orkester/Helen Sjöholm/Tommy Körberg,Swedish,8,En Natt I Köpenhamn,10,2017
Weeping Willows,English,9,My Love Is Not Blind,10,2017
Johnossi,English,10,Air Is Free,10,2017
Miriam Bryant,English,1,Black Car,11,2017
Magnus Carlson,Danish,2,Eternal Love,11,2017
Jill Johnson,English,3,Open Your Heart,11,2017
Laleh,Swedish,4,Bara Få Va Mig Själv,11,2017
Magnus Uggla,Swedish,5,Världen Är Din,11,2017
Benny Anderssons Orkester/Helen Sjöholm/Tommy Körberg,Swedish,6,En Natt I Köpenhamn,11,2017
Nano,English,7,Hold On,11,2017
Weeping Willows,English,8,My Love Is Not Blind,11,2017
Wiktoria,English,9,As I Lay Me Down,11,2017
Måns Zelmerlöw,English,10,Fire In The Rain,11,2017
Nano,English,1,Hold On,12,2017
Miriam Bryant,English,2,Black Car,12,2017
Laleh,Swedish,3,Bara Få Va Mig Själv,12,2017
Jill Johnson,English,4,Open Your Heart,12,2017
Jon Henrik Fjällgren feat. Aninia,Swedish,5,En Värld Full Av Strider (Eatneme Gusnie Jeenh Dåaroeh),12,2017
Magnus Carlson,Danish,6,Eternal Love,12,2017
Magnus Uggla,Swedish,7,Världen Är Din,12,2017
Wiktoria,English,8,As I Lay Me Down,12,2017
Robin Bengtsson,English,9,I Can't Go On,12,2017
Weeping Willows,English,10,My Love Is Not Blind,12,2017
Nano,English,1,Hold On,13,2017
Miriam Bryant,English,2,Black Car,13,2017
Laleh,Swedish,3,Bara Få Va Mig Själv,13,2017
Jill Johnson,English,4,Open Your Heart,13,2017
Magnus Carlson,Danish,5,Eternal Love,13,2017
Weeping Willows,English,6,My Love Is Not Blind,13,2017
Magnus Uggla,Swedish,7,Världen Är Din,13,2017
Wiktoria,English,8,As I Lay Me Down,13,2017
Robin Bengtsson,English,9,I Can't Go On,13,2017
Jon Henrik Fjällgren feat. Aninia,Swedish,10,En Värld Full Av Strider (Eatneme Gusnie Jeenh Dåaroeh),13,2017
Nano,English,1,Hold On,14,2017
Jill Johnson,English,2,Open Your Heart,14,2017
Miriam Bryant,English,3,Black Car,14,2017
Magnus Carlson,Danish,4,Eternal Love,14,2017
Magnus Uggla,Swedish,5,Världen Är Din,14,2017
Laleh,Swedish,6,Bara Få Va Mig Själv,14,2017
Wiktoria,English,7,As I Lay Me Down,14,2017
Weeping Willows,English,8,My Love Is Not Blind,14,2017
Robin Bengtsson,English,9,I Can't Go On,14,2017
Jon Henrik Fjällgren feat. Aninia,Swedish,10,En Värld Full Av Strider (Eatneme Gusnie Jeenh Dåaroeh),14,2017
Nano,English,1,Hold On,15,2017
Laleh,Swedish,2,Bara Få Va Mig Själv,15,2017
Jill Johnson,English,3,Open Your Heart,15,2017
Miriam Bryant,English,4,Black Car,15,2017
Wiktoria,English,5,As I Lay Me Down,15,2017
Magnus Uggla,Swedish,6,Världen Är Din,15,2017
Magnus Carlson,Danish,7,Eternal Love,15,2017
Miriam Bryant,English,8,Everything,15,2017
Weeping Willows,English,9,My Love Is Not Blind,15,2017
Robin Bengtsson,English,10,I Can't Go On,15,2017
Nano,English,1,Hold On,16,2017
Magnus Carlson,Danish,2,Eternal Love,16,2017
Jill Johnson,English,3,Open Your Heart,16,2017
Miriam Bryant,English,4,Black Car,16,2017
Laleh,Swedish,5,Bara Få Va Mig Själv,16,2017
Wiktoria,English,6,As I Lay Me Down,16,2017
Weeping Willows,English,7,My Love Is Not Blind,16,2017
Robin Bengtsson,English,8,I Can't Go On,16,2017
Magnus Uggla,Swedish,9,Världen Är Din,16,2017
Per Gessle med Lars Winnerbäck,Swedish,10,Småstadsprat,16,2017
Nano,English,1,Hold On,17,2017
Laleh,Swedish,2,Bara Få Va Mig Själv,17,2017
Jill Johnson,English,3,Open Your Heart,17,2017
Miriam Bryant,English,4,Black Car,17,2017
Weeping Willows,English,5,My Love Is Not Blind,17,2017
Magnus Carlson,Danish,6,Eternal Love,17,2017
Magnus Uggla,Swedish,7,Världen Är Din,17,2017
Wiktoria,English,8,As I Lay Me Down,17,2017
Per Gessle med Lars Winnerbäck,Swedish,9,Småstadsprat,17,2017
Robin Bengtsson,English,10,I Can't Go On,17,2017
Nano,English,1,Hold On,18,2017
Jill Johnson,English,2,Open Your Heart,18,2017
Miriam Bryant,English,3,Black Car,18,2017
Magnus Carlson,Danish,4,Eternal Love,18,2017
Laleh,Swedish,5,Bara Få Va Mig Själv,18,2017
Weeping Willows,English,6,My Love Is Not Blind,18,2017
Wiktoria,English,7,As I Lay Me Down,18,2017
Magnus Uggla,Swedish,8,Världen Är Din,18,2017
Robin Bengtsson,English,9,I Can't Go On,18,2017
Per Gessle med Lars Winnerbäck,Swedish,10,Småstadsprat,18,2017
Nano,English,1,Hold On,19,2017
Laleh,Swedish,2,Bara Få Va Mig Själv,19,2017
Miriam Bryant,English,3,Black Car,19,2017
Magnus Carlson,Danish,4,Eternal Love,19,2017
Jill Johnson,English,5,Open Your Heart,19,2017
Wiktoria,English,6,As I Lay Me Down,19,2017
Magnus Uggla,Swedish,7,Världen Är Din,19,2017
Per Gessle med Lars Winnerbäck,Swedish,8,Småstadsprat,19,2017
Robin Bengtsson,English,9,I Can't Go On,19,2017
Peter LeMarc,Swedish,10,Kom Och Gör Mig...Oh!,19,2017
Nano,English,1,Hold On,20,2017
Miriam Bryant,English,2,Black Car,20,2017
Jill Johnson,English,3,Open Your Heart,20,2017
Magnus Uggla,Swedish,4,Världen Är Din,20,2017
Wiktoria,English,5,As I Lay Me Down,20,2017
Magnus Carlson,Danish,6,Eternal Love,20,2017
Zara Larsson,English,7,Only You,20,2017
Per Gessle med Lars Winnerbäck,Swedish,8,Småstadsprat,20,2017
Robin Bengtsson,English,9,I Can't Go On,20,2017
Darin,Swedish,10,Ja Må Du Leva,20,2017
Nano,English,1,Hold On,21,2017
Miriam Bryant,English,2,Black Car,21,2017
Magnus Carlson,Danish,3,Eternal Love,21,2017
Jill Johnson,English,4,Open Your Heart,21,2017
Zara Larsson,English,5,Only You,21,2017
Magnus Uggla,Swedish,6,Världen Är Din,21,2017
Per Gessle med Lars Winnerbäck,Swedish,7,Småstadsprat,21,2017
Wiktoria,English,8,As I Lay Me Down,21,2017
Robin Bengtsson,English,9,I Can't Go On,21,2017
Måns Zelmerlöw,English,10,Wrong Decision,21,2017
Nano,English,1,Hold On,22,2017
Miriam Bryant,English,2,Black Car,22,2017
Magnus Uggla,Swedish,3,Världen Är Din,22,2017
Jill Johnson,English,4,Open Your Heart,22,2017
Zara Larsson,English,5,Only You,22,2017
Magnus Carlson,Danish,6,Eternal Love,22,2017
Wiktoria,English,7,As I Lay Me Down,22,2017
Per Gessle med Lars Winnerbäck,Swedish,8,Småstadsprat,22,2017
Måns Zelmerlöw,English,9,Wrong Decision,22,2017
Robin Bengtsson,English,10,I Can't Go On,22,2017
Nano,English,1,Hold On,23,2017
Jill Johnson,English,2,Open Your Heart,23,2017
Magnus Carlson,Danish,3,Eternal Love,23,2017
