position,artist,title,year,week,language
1,CLEAN BANDIT FEAT SEAN PAUL & ANNE-MARIE,ROCKABYE,2017,1,English
2,GULDDRENG,KED AF DET,2017,1,Danish
3,THE WEEKND FEAT. DAFT PUNK,STARBOY,2017,1,English
4,STARLEY,CALL ON ME,2017,1,English
5,GILLI,HELWA,2017,1,Norwegian
6,THE WEEKND FEAT. DAFT PUNK,I FEEL IT COMING,2017,1,English
7,JAMES ARTHUR,SAY YOU WON´T LET GO,2017,1,English
8,DJ SNAKE & TIESTO FEAT. JUSTIN BIEBER,LET ME LOVE YOU,2017,1,English
9,JESU BRØDRE & ADHD,KRANALARM,2017,1,Danish
10,MAJOR LAZER FEAT. JUSTIN BIEBER & MØ,COLD WATER,2017,1,English
11,RAG´N´BONE MAN,HUMAN,2017,1,English
12,ZAYN & TAYLOR SWIFT,I DON´T WANNA LIVE FOREVER,2017,1,English
13,CHRISTOPHER,FREE FALL,2017,1,English
14,THE CHAINSMOKERS FEAT. HALSEY,CLOSER,2017,1,English
15,MARTIN JENSEN,SOLO DANCE,2017,1,English
16,NODE,PAKKER BAR,2017,1,Danish
17,BLAK,IK´ MIN SKYLD,2017,1,Danish
18,JIMILIAN,GIV MIG NOGET,2017,1,Danish
19,SLEIMAN,FOR EVIGT UNG,2017,1,Danish
20,RAE SREMMURD FEAT. GUCCI MANE,BLACK BEATLES,2017,1,English
21,MAROON 5 FEAT. KENDRICK LAMAR,DON´T WANNA KNOW,2017,1,English
22,VOLBEAT,FOR EVIGT,2017,1,Danish
23,GULDDRENG,MODEL,2017,1,Danish
24,ZARA LARSSON,I WOULD LIKE,2017,1,English
25,SHAWN MENDES,MERCY,2017,1,English
26,BRUNO MARS,24K MAGIC,2017,1,English
27,JUSTIN TIMBERLAKE,CAN´T STOP THE FEELING!,2017,1,English
28,SAGE THE GEMINI,NOW AND LATER,2017,1,English
29,BLAK,NEDE METTE,2017,1,Danish
30,GULDDRENG,SE MIG NU,2017,1,Danish
31,NEIKED,SEXUAL,2017,1,English
32,GULDDRENG,NEMT,2017,1,Danish
33,CALUM SCOTT,DANCING ON MY OWN,2017,1,English
34,SUSPEKT,HUN BLEV BARE SÅ GLAD,2017,1,Danish
35,SHAWN MENDES,TREAT YOU BETTER,2017,1,English
36,DRAKE,FAKE LOVE,2017,1,English
37,HAILEE STEINFELD & GREY FEAT. ZEDD,STARVING,2017,1,English
38,MARTIN GARRIX & BEBE REXHA,IN THE NAME OF LOVE,2017,1,English
39,GULDDRENG,DRIKKER FOR LIDT,2017,1,Danish
40,STEVE AOKI & LOUIS TOMLINSON,JUST HOLD ON,2017,1,English
1,ED SHEERAN,SHAPE OF YOU,2017,2,English
2,ED SHEERAN,CASTLE ON THE HILL,2017,2,English
3,CLEAN BANDIT FEAT SEAN PAUL & ANNE-MARIE,ROCKABYE,2017,2,English
4,GULDDRENG,KED AF DET,2017,2,Danish
5,GILLI,HELWA,2017,2,Norwegian
6,ZAYN & TAYLOR SWIFT,I DON´T WANNA LIVE FOREVER,2017,2,English
7,STARLEY,CALL ON ME,2017,2,English
8,THE WEEKND FEAT. DAFT PUNK,STARBOY,2017,2,English
9,THE WEEKND FEAT. DAFT PUNK,I FEEL IT COMING,2017,2,English
10,JAMES ARTHUR,SAY YOU WON´T LET GO,2017,2,English
11,JIMILIAN,GIV MIG NOGET,2017,2,Danish
12,SNAKEHIPS & MØ,DON´T LEAVE,2017,2,English
13,JESU BRØDRE & ADHD,KRANALARM,2017,2,Danish
14,NODE,PAKKER BAR,2017,2,Danish
15,RAG´N´BONE MAN,HUMAN,2017,2,English
16,SUSPEKT,HUN BLEV BARE SÅ GLAD,2017,2,Danish
17,CHRISTOPHER,FREE FALL,2017,2,English
18,DJ SNAKE & TIESTO FEAT. JUSTIN BIEBER,LET ME LOVE YOU,2017,2,English
19,BLAK,IK´ MIN SKYLD,2017,2,Danish
20,MARTIN JENSEN,SOLO DANCE,2017,2,English
21,THE CHAINSMOKERS FEAT. HALSEY,CLOSER,2017,2,English
22,MAJOR LAZER FEAT. JUSTIN BIEBER & MØ,COLD WATER,2017,2,English
23,MAROON 5 FEAT. KENDRICK LAMAR,DON´T WANNA KNOW,2017,2,English
24,SLEIMAN,FOR EVIGT UNG,2017,2,Danish
25,RAE SREMMURD FEAT. GUCCI MANE,BLACK BEATLES,2017,2,English
26,SHAWN MENDES,MERCY,2017,2,English
27,ZARA LARSSON,I WOULD LIKE,2017,2,English
28,SAGE THE GEMINI,NOW AND LATER,2017,2,English
29,BRUNO MARS,24K MAGIC,2017,2,English
30,NEIKED,SEXUAL,2017,2,English
31,CALUM SCOTT,DANCING ON MY OWN,2017,2,English
32,STEVE AOKI & LOUIS TOMLINSON,JUST HOLD ON,2017,2,English
33,VOLBEAT,FOR EVIGT,2017,2,Danish
34,DRAKE,FAKE LOVE,2017,2,English
35,ROBIN SCHULZ & DAVID GUETTA FT. CHEAT CO,SHED A LIGHT,2017,2,English
36,GULDDRENG,SE MIG NU,2017,2,Danish
37,ALESSIA CARA,SCARS TO YOUR BEAUTIFUL,2017,2,English
38,HAILEE STEINFELD & GREY FEAT. ZEDD,STARVING,2017,2,English
39,GULDDRENG,NEMT,2017,2,Danish
40,ALAN WALKER,ALONE,2017,2,English
1,ED SHEERAN,SHAPE OF YOU,2017,3,English
2,ED SHEERAN,CASTLE ON THE HILL,2017,3,English
3,CLEAN BANDIT FT. SEAN PAUL & ANNE-MARIE,ROCKABYE,2017,3,English
4,ZAYN & TAYLOR SWIFT,I DON´T WANNA LIVE FOREVER,2017,3,English
5,GULDDRENG,KED AF DET,2017,3,Danish
6,THE WEEKND FEAT. DAFT PUNK,I FEEL IT COMING,2017,3,English
7,JAMES ARTHUR,SAY YOU WON´T LET GO,2017,3,English
8,GILLI,HELWA,2017,3,Norwegian
9,STARLEY,CALL ON ME,2017,3,English
10,THE WEEKND FEAT. DAFT PUNK,STARBOY,2017,3,English
11,SNAKEHIPS & MØ,DON´T LEAVE,2017,3,English
12,JIMILIAN,GIV MIG NOGET,2017,3,Danish
13,THE CHAINSMOKERS,PARIS,2017,3,English
14,RAG´N´BONE MAN,HUMAN,2017,3,English
15,NODE,PAKKER BAR,2017,3,Danish
16,CHRISTOPHER,FREE FALL,2017,3,English
17,JESU BRØDRE & ADHD,KRANALARM,2017,3,Danish
18,BLAK,IK´ MIN SKYLD,2017,3,Danish
19,MARTIN JENSEN,SOLO DANCE,2017,3,English
20,THE CHAINSMOKERS FEAT. HALSEY,CLOSER,2017,3,English
21,DJ SNAKE & TIESTO FEAT. JUSTIN BIEBER,LET ME LOVE YOU,2017,3,English
22,MAROON 5 FEAT. KENDRICK LAMAR,DON´T WANNA KNOW,2017,3,English
23,SHAWN MENDES,MERCY,2017,3,English
24,SLEIMAN,FOR EVIGT UNG,2017,3,Danish
25,SUSPEKT,HUN BLEV BARE SÅ GLAD,2017,3,Danish
26,ZARA LARSSON,I WOULD LIKE,2017,3,English
27,MAJOR LAZER FEAT. JUSTIN BIEBER & MØ,COLD WATER,2017,3,English
28,STEVE AOKI & LOUIS TOMLINSON,JUST HOLD ON,2017,3,English
29,TOPGUNN,FOKUS,2017,3,Norwegian
30,BRUNO MARS,24K MAGIC,2017,3,English
31,RAE SREMMURD FEAT. GUCCI MANE,BLACK BEATLES,2017,3,English
32,NEIKED,SEXUAL,2017,3,English
33,SAGE THE GEMINI,NOW AND LATER,2017,3,English
34,CALUM SCOTT,DANCING ON MY OWN,2017,3,English
35,VOLBEAT,FOR EVIGT,2017,3,Danish
36,ROBIN SCHULZ & DAVID GUETTA FT. CHEAT CO,SHED A LIGHT,2017,3,English
37,ALESSIA CARA,SCARS TO YOUR BEAUTIFUL,2017,3,English
38,DRAKE,FAKE LOVE,2017,3,English
39,NOAH CYRUS FEAT. LABRINTH,MAKE ME (CRY),2017,3,English
40,CITYBOIS,UNDER 18,2017,3,Danish
1,ED SHEERAN,SHAPE OF YOU,2017,4,English
2,ED SHEERAN,CASTLE ON THE HILL,2017,4,English
3,THE CHAINSMOKERS,PARIS,2017,4,English
4,CLEAN BANDIT FEAT SEAN PAUL & ANNE-MARIE,ROCKABYE,2017,4,English
5,ZAYN & TAYLOR SWIFT,I DON´T WANNA LIVE FOREVER,2017,4,English
6,STARLEY,CALL ON ME,2017,4,English
7,JAMES ARTHUR,SAY YOU WON´T LET GO,2017,4,English
8,THE WEEKND FEAT. DAFT PUNK,I FEEL IT COMING,2017,4,English
9,GILLI,HELWA,2017,4,Norwegian
10,MEDINA,ELSK MIG,2017,4,Danish
11,KESI,GOD DAG,2017,4,Danish
12,SNAKEHIPS & MØ,DON´T LEAVE,2017,4,English
13,GULDDRENG,KED AF DET,2017,4,Danish
14,THE WEEKND FEAT. DAFT PUNK,STARBOY,2017,4,English
15,NODE,PAKKER BAR,2017,4,Danish
16,JIMILIAN,GIV MIG NOGET,2017,4,Danish
17,MARTIN JENSEN,SOLO DANCE,2017,4,English
18,RAG´N´BONE MAN,HUMAN,2017,4,English
19,JESU BRØDRE & ADHD,KRANALARM,2017,4,Danish
20,CHRISTOPHER,FREE FALL,2017,4,English
21,THE CHAINSMOKERS FEAT. HALSEY,CLOSER,2017,4,English
22,STEVE AOKI & LOUIS TOMLINSON,JUST HOLD ON,2017,4,English
23,ZARA LARSSON,I WOULD LIKE,2017,4,English
24,BLAK,IK´ MIN SKYLD,2017,4,Danish
25,MAROON 5 FEAT. KENDRICK LAMAR,DON´T WANNA KNOW,2017,4,English
26,MURA MASA FEAT. A$AP ROCKY,LOVE$ICK,2017,4,English
27,SHAWN MENDES,MERCY,2017,4,English
28,ISAIAH,IT´S GOTTA BE YOU,2017,4,English
29,SLEIMAN,FOR EVIGT UNG,2017,4,Danish
30,DJ SNAKE & TIESTO FEAT. JUSTIN BIEBER,LET ME LOVE YOU,2017,4,English
31,MAJOR LAZER FEAT. JUSTIN BIEBER & MØ,COLD WATER,2017,4,English
32,CALUM SCOTT,DANCING ON MY OWN,2017,4,English
33,ALEX & SIERRA,LITTLE DO YOU KNOW,2017,4,English
34,SAGE THE GEMINI,NOW AND LATER,2017,4,English
35,RAE SREMMURD FEAT. GUCCI MANE,BLACK BEATLES,2017,4,English
36,SUSPEKT,HUN BLEV BARE SÅ GLAD,2017,4,Danish
37,NEIKED,SEXUAL,2017,4,English
38,ROBIN SCHULZ & DAVID GUETTA FT. CHEAT CO,SHED A LIGHT,2017,4,English
39,DRAKE,FAKE LOVE,2017,4,English
40,ALOK & BRUNO MARTINI,HEAR ME NOW,2017,4,English
1,ED SHEERAN,SHAPE OF YOU,2017,5,English
2,THE CHAINSMOKERS,PARIS,2017,5,English
3,ED SHEERAN,CASTLE ON THE HILL,2017,5,English
4,CLEAN BANDIT FEAT SEAN PAUL & ANNE-MARIE,ROCKABYE,2017,5,English
5,"MOLO FEAT. BENNY J, GILLI & MELLEMFING..",BØLGEN,2017,5,Danish
6,ZAYN & TAYLOR SWIFT,I DON´T WANNA LIVE FOREVER,2017,5,English
7,STARLEY,CALL ON ME,2017,5,English
8,JAMES ARTHUR,SAY YOU WON´T LET GO,2017,5,English
9,KESI,GOD DAG,2017,5,Danish
10,THE WEEKND FEAT. DAFT PUNK,I FEEL IT COMING,2017,5,English
11,GILLI,HELWA,2017,5,Norwegian
12,SNAKEHIPS & MØ,DON´T LEAVE,2017,5,English
13,MEDINA,ELSK MIG,2017,5,Danish
14,GULDDRENG,KED AF DET,2017,5,Danish
