position,artist,title,year,week,language
1,Arttu Lindeman,Hukutaan,2017,1,Finnish
2,Alan Walker,Alone,2017,1,English
3,Clean Bandit,Rockabye (Feat. Sean Paul & Anne-Marie),2017,1,English
4,Mikael Gabriel,Loistat Pimeäs,2017,1,Finnish
5,"Profeetat, Elastinen, Cheek",Sinuhe,2017,1,Finnish
6,The Weeknd,Starboy (Feat. Daft Punk),2017,1,English
7,"Steve Aoki, Louis Tomlinson",Just Hold On,2017,1,English
8,Burak Yeter,Tuesday (Feat. Danelle Sandoval),2017,1,English
9,Nikke Ankara,Pisamat,2017,1,Finnish
10,JVG,"Mist Sä Tuut, Part. 2",2017,1,Finnish
11,Vice,Steady 1234 (Feat. Jasmine Thompson & Skizzy Mars),2017,1,English
12,Rae Sremmurd,Black Beatles (Feat. Gucci Mane),2017,1,English
13,Sage The Gemini,Now And Later,2017,1,English
14,Haloo Helsinki!,Rakas,2017,1,Finnish
15,Sia,Move Your Body,2017,1,English
16,Taylor Swift & Zayn Malik,I Don't Wanna Live Forever (Fifty Shades Darker),2017,1,Norwegian
17,Roope Salminen & Koirat,Vilmasen Iinan Bileet,2017,1,Finnish
18,"MGI, JVG, Elias Gould",Revolveri (Luokkakokous 2 - Polttarit),2017,1,Finnish
19,"Bruno Martini, Alok",Hear Me Now (Feat. Zeeba),2017,1,English
20,Tippa-T,Lujaa (Feat. Pete Parkkonen),2017,1,Finnish
1,Ed Sheeran,Shape Of You,2017,2,English
2,Antti Tuisku,Mä Hiihdän,2017,2,Finnish
3,Alan Walker,Alone,2017,2,English
4,Arttu Lindeman,Hukutaan,2017,2,Finnish
5,Ed Sheeran,Castle On The Hill,2017,2,English
6,Clean Bandit,Rockabye (Feat. Sean Paul & Anne-Marie),2017,2,English
7,Mikael Gabriel,Loistat Pimeäs,2017,2,Finnish
8,"Profeetat, Elastinen, Cheek",Sinuhe,2017,2,Finnish
9,"Steve Aoki, Louis Tomlinson",Just Hold On,2017,2,English
10,The Weeknd,Starboy (Feat. Daft Punk),2017,2,English
11,Vice,Steady 1234 (Feat. Jasmine Thompson & Skizzy Mars),2017,2,English
12,Haloo Helsinki!,Rakas,2017,2,Finnish
13,Nikke Ankara,Pisamat,2017,2,Finnish
14,Burak Yeter,Tuesday (Feat. Danelle Sandoval),2017,2,English
15,"Bruno Martini, Alok",Hear Me Now (Feat. Zeeba),2017,2,English
16,JVG,"Mist Sä Tuut, Part. 2",2017,2,Finnish
17,Sage The Gemini,Now And Later,2017,2,English
18,Aste,Enemmän Kuin Valmis,2017,2,Finnish
19,Sia,Move Your Body,2017,2,English
20,The Weeknd,I Feel It Coming (Feat. Daft Punk),2017,2,English
1,Ed Sheeran,Shape Of You,2017,3,English
2,Alan Walker,Alone,2017,3,English
3,Clean Bandit,Rockabye (Feat. Sean Paul & Anne-Marie),2017,3,English
4,Ed Sheeran,Castle On The Hill,2017,3,English
5,Antti Tuisku,Mä Hiihdän,2017,3,Finnish
6,Arttu Lindeman,Hukutaan,2017,3,Finnish
7,Mikael Gabriel,Loistat Pimeäs,2017,3,Finnish
8,"Steve Aoki, Louis Tomlinson",Just Hold On,2017,3,English
9,Mäkki,Mixet Tahdo (Feat. Pyhimys),2017,3,Finnish
10,Taylor Swift & Zayn Malik,I Don't Wanna Live Forever (Fifty Shades Darker),2017,3,Norwegian
11,"Profeetat, Elastinen, Cheek",Sinuhe,2017,3,Finnish
12,The Weeknd,Starboy (Feat. Daft Punk),2017,3,English
13,Vice,Steady 1234 (Feat. Jasmine Thompson & Skizzy Mars),2017,3,English
14,"Bruno Martini, Alok",Hear Me Now (Feat. Zeeba),2017,3,English
15,Haloo Helsinki!,Rakas,2017,3,Finnish
16,Burak Yeter,Tuesday (Feat. Danelle Sandoval),2017,3,English
17,Nikke Ankara,Pisamat,2017,3,Finnish
18,The Chainsmokers,Paris,2017,3,English
19,Sage The Gemini,Now And Later,2017,3,English
20,"Machine Gun Kelly, Camila Cabello",Bad Things,2017,3,English
1,Ed Sheeran,Shape Of You,2017,4,English
2,Mäkki,Mixet Tahdo (Feat. Pyhimys),2017,4,Finnish
3,Alan Walker,Alone,2017,4,English
4,Jenni Vartiainen,Turvasana,2017,4,Finnish
5,Clean Bandit,Rockabye (Feat. Sean Paul & Anne-Marie),2017,4,English
6,The Chainsmokers,Paris,2017,4,English
7,Antti Tuisku,Mä Hiihdän,2017,4,Finnish
8,Ed Sheeran,Castle On The Hill,2017,4,English
9,Mikael Gabriel,Loistat Pimeäs,2017,4,Finnish
10,Arttu Lindeman,Hukutaan,2017,4,Finnish
11,"Steve Aoki, Louis Tomlinson",Just Hold On,2017,4,English
12,Taylor Swift & Zayn Malik,I Don't Wanna Live Forever (Fifty Shades Darker),2017,4,Norwegian
13,"Profeetat, Elastinen, Cheek",Sinuhe,2017,4,Finnish
14,Vice,Steady 1234 (Feat. Jasmine Thompson & Skizzy Mars),2017,4,English
15,"Bruno Martini, Alok",Hear Me Now (Feat. Zeeba),2017,4,English
16,Haloo Helsinki!,Rakas,2017,4,Finnish
17,The Weeknd,Starboy (Feat. Daft Punk),2017,4,English
18,Nikke Ankara,Pisamat,2017,4,Finnish
19,"Machine Gun Kelly, Camila Cabello",Bad Things,2017,4,English
20,Janne Ordén,Sunnuntaisin (Feat. Neea),2017,4,Finnish
1,Ed Sheeran,Shape Of You,2017,5,English
2,Haloo Helsinki!,Hulluuden Highway,2017,5,Finnish
3,Alan Walker,Alone,2017,5,English
4,Mäkki,Mixet Tahdo (Feat. Pyhimys),2017,5,Finnish
5,The Chainsmokers,Paris,2017,5,English
6,Clean Bandit,Rockabye (Feat. Sean Paul & Anne-Marie),2017,5,English
7,Taylor Swift & Zayn Malik,I Don't Wanna Live Forever (Fifty Shades Darker),2017,5,Norwegian
8,Janne Ordén,Sunnuntaisin (Feat. Neea),2017,5,Finnish
9,Ed Sheeran,Castle On The Hill,2017,5,English
10,Mikael Gabriel,Loistat Pimeäs,2017,5,Finnish
11,"Steve Aoki, Louis Tomlinson",Just Hold On,2017,5,English
12,"Profeetat, Elastinen, Cheek",Sinuhe,2017,5,Finnish
13,Arttu Lindeman,Hukutaan,2017,5,Finnish
14,"Bruno Martini, Alok",Hear Me Now (Feat. Zeeba),2017,5,English
15,Vice,Steady 1234 (Feat. Jasmine Thompson & Skizzy Mars),2017,5,English
16,Hank Solo,Paska Sydän,2017,5,Finnish
17,Haloo Helsinki!,Rakas,2017,5,Finnish
18,Jenni Vartiainen,Turvasana,2017,5,Finnish
19,Martin Jensen,Solo Dance,2017,5,English
20,"Machine Gun Kelly, Camila Cabello",Bad Things,2017,5,English
1,"Mikael Gabriel, Isac Elliot",Liikaa Sussa Kii,2017,6,Finnish
2,Ed Sheeran,Shape Of You,2017,6,English
3,Haloo Helsinki!,Hulluuden Highway,2017,6,Finnish
4,Alan Walker,Alone,2017,6,English
5,The Chainsmokers,Paris,2017,6,English
6,Mäkki,Mixet Tahdo (Feat. Pyhimys),2017,6,Finnish
7,"Mikael Gabriel, Isac Elliot",Ring Ring Ring,2017,6,Finnish
8,Clean Bandit,Rockabye (Feat. Sean Paul & Anne-Marie),2017,6,English
9,"Martin Garrix, Dua Lipa",Scared To Be Lonely,2017,6,English
10,Jenni Vartiainen,Turvasana,2017,6,Finnish
11,Taylor Swift & Zayn Malik,I Don't Wanna Live Forever (Fifty Shades Darker),2017,6,Norwegian
12,Janne Ordén,Sunnuntaisin (Feat. Neea),2017,6,Finnish
13,Ed Sheeran,Castle On The Hill,2017,6,English
14,Mikael Gabriel,Loistat Pimeäs,2017,6,Finnish
15,"Profeetat, Elastinen, Cheek",Sinuhe,2017,6,Finnish
16,"Steve Aoki, Louis Tomlinson",Just Hold On,2017,6,English
17,"Mikael Gabriel, Isac Elliot",Rullaan,2017,6,Finnish
18,Aleksanteri Hakaniemi,Filmi Katkee (Feat. Aste),2017,6,Finnish
19,Haloo Helsinki!,Rakas,2017,6,Finnish
20,"Bruno Martini, Alok",Hear Me Now (Feat. Zeeba),2017,6,English
1,"Mikael Gabriel, Isac Elliot",Liikaa Sussa Kii,2017,7,Finnish
2,Ed Sheeran,Shape Of You,2017,7,English
