position,artist,title,year,week,language
1,Jill Johnson,Open Your Heart,2017,1,English
2,Miriam Bryant,Black Car,2017,1,English
3,Laleh,Bara Få Va Mig Själv,2017,1,Swedish
4,Magnus Carlson,Eternal Love,2017,1,Danish
5,Måns Zelmerlöw,Fire In The Rain,2017,1,English
6,Zara Larsson,Ain't My Fault,2017,1,English
7,Weeping Willows,My Love Is Not Blind,2017,1,English
8,Benny Anderssons Orkester/Helen Sjöholm/Tommy Körberg,En Natt I Köpenhamn,2017,1,Swedish
9,Magnus Uggla,Världen Är Din,2017,1,Swedish
10,CajsaStina Åkerström,Röd,2017,1,Swedish
1,Jill Johnson,Open Your Heart,2017,2,English
2,Miriam Bryant,Black Car,2017,2,English
3,Laleh,Bara Få Va Mig Själv,2017,2,Swedish
4,Magnus Carlson,Eternal Love,2017,2,Danish
5,Måns Zelmerlöw,Fire In The Rain,2017,2,English
6,Weeping Willows,My Love Is Not Blind,2017,2,English
7,Benny Anderssons Orkester/Helen Sjöholm/Tommy Körberg,En Natt I Köpenhamn,2017,2,Swedish
8,Zara Larsson,Ain't My Fault,2017,2,English
9,Magnus Uggla,Världen Är Din,2017,2,Swedish
10,Danny Saucedo,Snacket På Stan,2017,2,Swedish
1,Miriam Bryant,Black Car,2017,3,English
2,Jill Johnson,Open Your Heart,2017,3,English
3,Magnus Carlson,Eternal Love,2017,3,Danish
4,Laleh,Bara Få Va Mig Själv,2017,3,Swedish
5,Benny Anderssons Orkester/Helen Sjöholm/Tommy Körberg,En Natt I Köpenhamn,2017,3,Swedish
6,Weeping Willows,My Love Is Not Blind,2017,3,English
7,Måns Zelmerlöw,Fire In The Rain,2017,3,English
8,Zara Larsson,Ain't My Fault,2017,3,English
9,Danny Saucedo,Snacket På Stan,2017,3,Swedish
10,Magnus Uggla,Världen Är Din,2017,3,Swedish
1,Jill Johnson,Open Your Heart,2017,4,English
2,Miriam Bryant,Black Car,2017,4,English
3,Magnus Carlson,Eternal Love,2017,4,Danish
4,Laleh,Bara Få Va Mig Själv,2017,4,Swedish
5,Weeping Willows,My Love Is Not Blind,2017,4,English
6,Måns Zelmerlöw,Fire In The Rain,2017,4,English
7,Zara Larsson,Ain't My Fault,2017,4,English
8,Benny Anderssons Orkester/Helen Sjöholm/Tommy Körberg,En Natt I Köpenhamn,2017,4,Swedish
9,Magnus Uggla,Världen Är Din,2017,4,Swedish
10,Danny Saucedo,Snacket På Stan,2017,4,Swedish
1,Jill Johnson,Open Your Heart,2017,5,English
2,Miriam Bryant,Black Car,2017,5,English
3,Laleh,Bara Få Va Mig Själv,2017,5,Swedish
4,Magnus Carlson,Eternal Love,2017,5,Danish
5,Magnus Uggla,Världen Är Din,2017,5,Swedish
