artist,country,title,weekcount,year,language
ED SHEERAN,Denmark,SHAPE OF YOU,32,2017,English
ED SHEERAN,Denmark,CASTLE ON THE HILL,15,2017,English
GILLI FEAT. KESI & SIVAS,Denmark,RICA,15,2017,Estonian
ED SHEERAN,Denmark,GALWAY GIRL,14,2017,English
POST MALONE FEAT. 21 SAVAGE,Denmark,ROCKSTAR,14,2017,English
SHAWN MENDES,Denmark,THERES NOTHING HOLDIN ME BACK,14,2017,English
FRENCH MONTANA FEAT. SWAE LEE,Denmark,UNFORGETTABLE,13,2017,English
"LUIS FONSI, DADDY YANKEE & JUSTIN BIEBER",Denmark,DESPACITO,13,2017,English
"DJ KHALED FEAT. JUSTIN BIEBER, QUAVO..",Denmark,I´M THE ONE,12,2017,English
KYGO & SELENA GOMEZ,Denmark,IT AIN´T ME,12,2017,English
Ed Sheeran,Finland,Shape Of You,17,2017,English
"Luis Fonsi, Daddy Yankee",Finland,Despacito (Remix) [Feat. Justin Bieber],17,2017,English
Robin,Finland,Hula Hula (Feat. Nelli Matula),15,2017,Finnish
Post Malone,Finland,Rockstar (Feat. 21 Savage),14,2017,English
Reino Nordin,Finland,Antaudun,13,2017,Finnish
Axwell /\ Ingrosso,Finland,More Than You Know,12,2017,English
JVG,Finland,Älä Jätä Roikkuu,12,2017,Finnish
Antti Tuisku,Finland,Hanuri (Feat. Boyat),11,2017,Finnish
Zayn,Finland,Dusk Till Dawn (Feat. Sia),11,2017,English
Antti Tuisku,Finland,Rahan Takii,10,2017,Finnish
Justin Bieber,Norway,DESPACITO (REMIX),22,2017,Spanish
Ed Sheeran,Norway,SHAPE OF YOU,19,2017,English
Hkeem,Norway,FY FAEN,15,2017,Norwegian
POST MALONE,Norway,ROCKSTAR,15,2017,English
Selena Gomez,Norway,IT AIN'T ME,14,2017,English
ItaloBrothers,Norway,SUMMER AIR,13,2017,English
Khalid,Norway,SILENCE,13,2017,English
Sia,Norway,DUSK TILL DAWN,12,2017,English
ZAYN & TAYLOR SWIFT,Norway,I DON'T WANNA LIVE FOREVER (FIFTY SHADES DARKER),12,2017,English
Burak Yeter,Norway,TUESDAY ,11,2017,English
Magnus Carlson,Sweden,Eternal Love,50,2017,Danish
Magnus Uggla,Sweden,Världen Är Din,46,2017,Swedish
Jill Johnson,Sweden,Open Your Heart,44,2017,English
Nano,Sweden,Hold On,42,2017,English
Zara Larsson,Sweden,Only You,33,2017,English
Miriam Bryant,Sweden,Rocket,30,2017,English
Mando Diao,Sweden,Shake,29,2017,English
Miriam Bryant,Sweden,Black Car,28,2017,English
Ted Gärdestad,Sweden,"Sol, Vind Och Vatten",24,2017,Swedish
Per Gessle med Lars Winnerbäck,Sweden,Småstadsprat,22,2017,Swedish
5 SECONDS OF SUMMER,Denmark,YOUNGBLOOD,15,2018,English
BRO,Denmark,SYDPÅ,15,2018,Danish
CALVIN HARRIS & DUA LIPA,Denmark,ONE KISS,14,2018,English
ED SHEERAN,Denmark,PERFECT,14,2018,English
"RUDIMENTAL FEAT. JESS GLYNNE, MACKLEMORE",Denmark,THESE DAYS,14,2018,English
DRAKE,Denmark,GOD´S PLAN,13,2018,English
FOOL,Denmark,STRAPPED,13,2018,English
KESI,Denmark,KOM OVER,13,2018,Norwegian
POST MALONE,Denmark,BETTER NOW,13,2018,English
LUKAS GRAHAM,Denmark,LOVE SOMEONE,12,2018,English
Pyhimys,Finland,Jättiläinen (Feat. Aksel Kankaanranta),15,2018,Finnish
"Lukas Leon, Etta, Cheek",Finland,Xtc,14,2018,Finnish
JVG,Finland,Popkorni,13,2018,Finnish
Nikke Ankara,Finland,Rikkinäinen Prinsessa,13,2018,Finnish
Pikku G,Finland,Solmussa (Feat. Behm),13,2018,Finnish
Adi L Hasla,Finland,Kevät (Feat. Pihlaja),12,2018,Finnish
Clean Bandit,Finland,Solo (Feat. Demi Lovato),12,2018,English
Ava Max,Finland,Sweet But Psycho,11,2018,English
"Alan Walker, Sophia Somajo",Finland,Diamond Heart,10,2018,English
Drake,Finland,God's Plan,10,2018,English
