artist,country,language,title,weekcount,year
ED SHEERAN,Denmark,English,SHAPE OF YOU,32,2017
ED SHEERAN,Denmark,English,CASTLE ON THE HILL,15,2017
GILLI FEAT. KESI & SIVAS,Denmark,"Danish,Spanish",RICA,15,2017
ED SHEERAN,Denmark,English,GALWAY GIRL,14,2017
POST MALONE FEAT. 21 SAVAGE,Denmark,English,ROCKSTAR,14,2017
SHAWN MENDES,Denmark,English,THERES NOTHING HOLDIN ME BACK,14,2017
FRENCH MONTANA FEAT. SWAE LEE,Denmark,English,UNFORGETTABLE,13,2017
"LUIS FONSI, DADDY YANKEE & JUSTIN BIEBER",Denmark,"English,Spanish",DESPACITO,13,2017
"DJ KHALED FEAT. JUSTIN BIEBER, QUAVO..",Denmark,English,I´M THE ONE,12,2017
KYGO & SELENA GOMEZ,Denmark,English,IT AIN´T ME,12,2017
Ed Sheeran,Finland,English,Shape Of You,17,2017
"Luis Fonsi, Daddy Yankee",Finland,"English,Spanish",Despacito (Remix) [Feat. Justin Bieber],17,2017
Robin,Finland,Finnish,Hula Hula (Feat. Nelli Matula),15,2017
Post Malone,Finland,English,Rockstar (Feat. 21 Savage),14,2017
Reino Nordin,Finland,Finnish,Antaudun,13,2017
Axwell /\ Ingrosso,Finland,English,More Than You Know,12,2017
JVG,Finland,Finnish,Älä Jätä Roikkuu,12,2017
Antti Tuisku,Finland,Finnish,Hanuri (Feat. Boyat),11,2017
Zayn,Finland,English,Dusk Till Dawn (Feat. Sia),11,2017
Antti Tuisku,Finland,Finnish,Rahan Takii,10,2017
Justin Bieber,Norway,"English,Spanish",DESPACITO (REMIX),22,2017
Ed Sheeran,Norway,English,SHAPE OF YOU,19,2017
Hkeem,Norway,Norwegian,FY FAEN,15,2017
POST MALONE,Norway,English,ROCKSTAR,15,2017
Selena Gomez,Norway,English,IT AIN'T ME,14,2017
ItaloBrothers,Norway,English,SUMMER AIR,13,2017
Khalid,Norway,English,SILENCE,13,2017
Sia,Norway,English,DUSK TILL DAWN,12,2017
ZAYN & TAYLOR SWIFT,Norway,English,I DON'T WANNA LIVE FOREVER (FIFTY SHADES DARKER),12,2017
Burak Yeter,Norway,English,TUESDAY ,11,2017
Magnus Carlson,Sweden,English,Eternal Love,50,2017
Magnus Uggla,Sweden,Swedish,Världen Är Din,46,2017
Jill Johnson,Sweden,English,Open Your Heart,44,2017
Nano,Sweden,English,Hold On,42,2017
Zara Larsson,Sweden,English,Only You,33,2017
Miriam Bryant,Sweden,English,Rocket,30,2017
Mando Diao,Sweden,English,Shake,29,2017
Miriam Bryant,Sweden,English,Black Car,28,2017
Ted Gärdestad,Sweden,Swedish,"Sol, Vind Och Vatten",24,2017
Per Gessle med Lars Winnerbäck,Sweden,Swedish,Småstadsprat,22,2017
5 SECONDS OF SUMMER,Denmark,English,YOUNGBLOOD,15,2018
BRO,Denmark,Danish,SYDPÅ,15,2018
CALVIN HARRIS & DUA LIPA,Denmark,English,ONE KISS,14,2018
ED SHEERAN,Denmark,English,PERFECT,14,2018
"RUDIMENTAL FEAT. JESS GLYNNE, MACKLEMORE",Denmark,English,THESE DAYS,14,2018
DRAKE,Denmark,English,GOD´S PLAN,13,2018
FOOL,Denmark,English,STRAPPED,13,2018
KESI,Denmark,Danish,KOM OVER,13,2018
POST MALONE,Denmark,English,BETTER NOW,13,2018
LUKAS GRAHAM,Denmark,English,LOVE SOMEONE,12,2018
Pyhimys,Finland,Finnish,Jättiläinen (Feat. Aksel Kankaanranta),15,2018
"Lukas Leon, Etta, Cheek",Finland,Finnish,Xtc,14,2018
JVG,Finland,Finnish,Popkorni,13,2018
Nikke Ankara,Finland,Finnish,Rikkinäinen Prinsessa,13,2018
Pikku G,Finland,Finnish,Solmussa (Feat. Behm),13,2018
Adi L Hasla,Finland,Finnish,Kevät (Feat. Pihlaja),12,2018
Clean Bandit,Finland,English,Solo (Feat. Demi Lovato),12,2018
Ava Max,Finland,English,Sweet But Psycho,11,2018
"Alan Walker, Sophia Somajo",Finland,English,Diamond Heart,10,2018
Drake,Finland,English,God's Plan,10,2018
Julie Bergan,Norway,English,IGNITE,19,2018
5 Seconds of Summer,Norway,English,YOUNGBLOOD,16,2018
JESS GLYNNE,Norway,English,THESE DAYS,16,2018
Sia,Norway,English,FLAMES,16,2018
Demi Lovato,Norway,English,SOLO,14,2018
Dynoro,Norway,English,IN MY MIND,13,2018
Mads Hansen,Norway,Norwegian,SOMMERKROPPEN,13,2018
Alan Walker,Norway,English,DARKSIDE,12,2018
Alan Walker,Norway,English,DIAMOND HEART,12,2018
Ava Max,Norway,English,SWEET BUT PSYCHO,12,2018
First Aid Kit,Sweden,English,Fireworks,52,2018
Darin,Sweden,Swedish,Tvillingen,45,2018
Miss Li,Sweden,English,Beautiful,41,2018
Avicii feat. Sandro Cavazza,Sweden,English,Without You,37,2018
Uno Svenningsson,Sweden,Swedish,Det Blir Ljusare Igen,37,2018
Kamferdrops,Sweden,Swedish,Jag Trodde Änglarna Fanns,36,2018
Tomas Andersson Wij,Sweden,Swedish,När Solen Färgar Juninatten,28,2018
Ted Gärdestad,Sweden,Swedish,"Sol, Vind Och Vatten",27,2018
Molly Sandén,Sweden,Swedish,Större,25,2018
Mando Diao,Sweden,English,Shake,22,2018
TONES AND I,Denmark,English,DANCE MONKEY,21,2019
LADY GAGA & BRADLEY COOPER,Denmark,English,SHALLOW,20,2019
