artist,country,title,weekcount,year
ED SHEERAN,Denmark,SHAPE OF YOU,32,2017
ED SHEERAN,Denmark,CASTLE ON THE HILL,15,2017
GILLI FEAT. KESI & SIVAS,Denmark,RICA,15,2017
ED SHEERAN,Denmark,GALWAY GIRL,14,2017
POST MALONE FEAT. 21 SAVAGE,Denmark,ROCKSTAR,14,2017
SHAWN MENDES,Denmark,THERES NOTHING HOLDIN ME BACK,14,2017
FRENCH MONTANA FEAT. SWAE LEE,Denmark,UNFORGETTABLE,13,2017
"LUIS FONSI, DADDY YANKEE & JUSTIN BIEBER",Denmark,DESPACITO,13,2017
"DJ KHALED FEAT. JUSTIN BIEBER, QUAVO..",Denmark,I´M THE ONE,12,2017
KYGO & SELENA GOMEZ,Denmark,IT AIN´T ME,12,2017
Ed Sheeran,Finland,Shape Of You,17,2017
"Luis Fonsi, Daddy Yankee",Finland,Despacito (Remix) [Feat. Justin Bieber],17,2017
Robin,Finland,Hula Hula (Feat. Nelli Matula),15,2017
Post Malone,Finland,Rockstar (Feat. 21 Savage),14,2017
Reino Nordin,Finland,Antaudun,13,2017
Axwell /\ Ingrosso,Finland,More Than You Know,12,2017
JVG,Finland,Älä Jätä Roikkuu,12,2017
Antti Tuisku,Finland,Hanuri (Feat. Boyat),11,2017
Zayn,Finland,Dusk Till Dawn (Feat. Sia),11,2017
Antti Tuisku,Finland,Rahan Takii,10,2017
Justin Bieber,Norway,DESPACITO (REMIX),22,2017
Ed Sheeran,Norway,SHAPE OF YOU,19,2017
Hkeem,Norway,FY FAEN,15,2017
POST MALONE,Norway,ROCKSTAR,15,2017
Selena Gomez,Norway,IT AIN'T ME,14,2017
ItaloBrothers,Norway,SUMMER AIR,13,2017
Khalid,Norway,SILENCE,13,2017
Sia,Norway,DUSK TILL DAWN,12,2017
ZAYN & TAYLOR SWIFT,Norway,I DON'T WANNA LIVE FOREVER (FIFTY SHADES DARKER),12,2017
Burak Yeter,Norway,TUESDAY ,11,2017
Magnus Carlson,Sweden,Eternal Love,50,2017
Magnus Uggla,Sweden,Världen Är Din,46,2017
Jill Johnson,Sweden,Open Your Heart,44,2017
