artist,country,streams,title,year
Ed Sheeran,Denmark,17874749,Shape of You,2017
"Luis Fonsi, Daddy Yankee, Justin Bieber",Denmark,17659624,Despacito - Remix,2017
"Post Malone, 21 Savage",Denmark,11419144,rockstar,2017
Gilli,Denmark,9647687,Rica (feat. Kesi & Sivas),2017
"French Montana, Swae Lee",Denmark,8299665,Unforgettable,2017
Ed Sheeran,Denmark,6598576,Galway Girl,2017
DJ Khaled,Denmark,6514144,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",2017
Ed Sheeran,Denmark,6195211,Castle on the Hill,2017
KESI,Denmark,6084986,Mamacita (feat. Benny Jamz),2017
Gilli,Denmark,6052574,Habibi Aiwa,2017
"Luis Fonsi, Daddy Yankee, Justin Bieber",Finland,9746116,Despacito - Remix,2017
Ed Sheeran,Finland,9597698,Shape of You,2017
"Post Malone, 21 Savage",Finland,9508952,rockstar,2017
JVG,Finland,5785320,Älä jätä roikkuu,2017
Reino Nordin,Finland,5781299,Antaudun,2017
"Robin, Nelli Matula",Finland,5626309,Hula Hula,2017
Antti Tuisku,Finland,5192410,Hanuri (feat. Boyat),2017
Axwell /\ Ingrosso,Finland,4582721,More Than You Know,2017
SANNI,Finland,4448158,Kelpaat kelle vaan (Vain elämää kausi 7) [feat. Apocalyptica],2017
Antti Tuisku,Finland,4364112,Rahan takii,2017
"Luis Fonsi, Daddy Yankee, Justin Bieber",Iceland,1456010,Despacito - Remix,2017
"JóiPé, Króli",Iceland,1126761,B.O.B.A.,2017
"Chase Anthony, JóiPé",Iceland,1122017,Ég Vil Það,2017
Ed Sheeran,Iceland,1034768,Shape of You,2017
Aron Can,Iceland,930918,Fullir Vasar,2017
"Post Malone, 21 Savage",Iceland,851135,rockstar,2017
"JóiPé, Króli",Iceland,689238,O Shit,2017
"Birnir, Herra Hnetusmjör",Iceland,662406,Já ég veit,2017
"Joey Christ, Aron Can, Herra Hnetusmjör, Birnir",Iceland,658012,Joey Cypher,2017
Kendrick Lamar,Iceland,646519,HUMBLE.,2017
"Luis Fonsi, Daddy Yankee, Justin Bieber",Norway,26613237,Despacito - Remix,2017
Ed Sheeran,Norway,20853202,Shape of You,2017
"Post Malone, 21 Savage",Norway,16142297,rockstar,2017
"Hkeem, Temur",Norway,15825284,Fy Faen,2017
Kygo,Norway,15260122,It Ain't Me (with Selena Gomez),2017
ItaloBrothers,Norway,11146712,Summer Air,2017
"Burak Yeter, Danelle Sandoval",Norway,9686866,Tuesday,2017
"Marshmello, Khalid",Norway,9401383,Silence,2017
Julia Michaels,Norway,9207193,Issues,2017
Clean Bandit,Norway,8961587,Symphony (feat. Zara Larsson),2017
Ed Sheeran,Sweden,46238625,Shape of You,2017
"Luis Fonsi, Daddy Yankee, Justin Bieber",Sweden,44382347,Despacito - Remix,2017
"Post Malone, 21 Savage",Sweden,26545976,rockstar,2017
Axwell /\ Ingrosso,Sweden,22366146,More Than You Know,2017
Avicii,Sweden,19843386,Without You (feat. Sandro Cavazza),2017
Kamferdrops,Sweden,19393884,Jag trodde änglarna fanns,2017
Kygo,Sweden,19076511,It Ain't Me (with Selena Gomez),2017
ZAYN,Sweden,18683937,Dusk Till Dawn (feat. Sia) - Radio Edit,2017
Clean Bandit,Sweden,17882464,Symphony (feat. Zara Larsson),2017
Kaliffa,Sweden,16345634,Helt seriöst,2017
Bro,Denmark,8800731,Sydpå,2018
KESI,Denmark,8691394,Kom Over,2018
Lukas Graham,Denmark,8134091,Love Someone,2018
"Sivas, NODE, Gilli",Denmark,7653940,Oui,2018
Drake,Denmark,7627796,God's Plan,2018
Calvin Harris,Denmark,7018863,One Kiss (with Dua Lipa),2018
Post Malone,Denmark,6763686,Better Now,2018
Gilli,Denmark,6412743,Langsom,2018
FOOL,Denmark,6299140,Strapped,2018
5 Seconds of Summer,Denmark,5478382,Youngblood,2018
"Adi L Hasla, Pihlaja",Finland,6113544,Kevät,2018
Clean Bandit,Finland,5877558,Solo (feat. Demi Lovato),2018
"Lukas Leon, Cheek, Etta",Finland,5873849,XTC,2018
"Pyhimys, Aksel Kankaanranta",Finland,5487813,Jättiläinen,2018
Nikke Ankara,Finland,4508047,Rikkinäinen Prinsessa,2018
Ava Max,Finland,4487988,Sweet but Psycho,2018
"Dynoro, Gigi D'Agostino",Finland,4143893,In My Mind,2018
JVG,Finland,3982710,Popkorni,2018
